Event Name,Date (DD/MM/YY),Event Type,Title,Organization,Program URL,Program,Format,Online / In-Person,Length,Organization URL,Event Promo,Full Length Video,Teaser Video,"City, Country",Full Address,Org Industry,Org Type,Organization Tags,Description,Elements,Topic Focus,Theme,Niche,Tags
MBA Program - Nyenrode Business University,13-Jun-24,Guest Lecture,Case Study: Growth and Automation in Modern Business,Nyenrode Business University,https://www.nyenrode.nl/en/programs,MBA Program,Guest Lecture,In-Person,1.5 Hours,https://www.nyenrode.nl/en,-,-,-,"Breukelen, Netherlands","Straatweg 25, 3621 BG Breukelen, Netherlands","Higher education, business school",Business University,"MBA, executive education, leadership, strategy, Netherlands","Modern growth systems, automation playbooks, experimentation cadence, KPI design, case-led decision making.","growth loops, automation, experimentation, KPI frameworks, tool stacks, organizational change",Growth Automation,AI and Automation,MBA students,"growth strategy, automation, experimentation, metrics, GTM"
Techstars Web3 Accelerator - Dublin,9-Apr-24,Workshop,Growth-Hacking Your Web3 Startup to Get Traction,Techstars,https://www.techstars.com/blog/web3,Techstars Web3 Accelerator,Workshop,Online,1 Hour,https://www.techstars.com/,https://www.techstars.com/accelerators/web3,-,-,"Dublin, Ireland",-,"Startup accelerator, venture capital",Accelerator,"startup accelerator, mentorship, venture network, web3, founders","Traction loops, GTM experiments, partnerships, community, messaging, metrics, sprinting from zero to momentum.","growth experiments, ICP, positioning, partnerships, community growth, analytics",Web3 Growth Hacking,Blockchain Crypto and Web3,Web3 startups,"growth hacking, traction, partnerships, web3, accelerator"
Rockstart Accelerator Spring - Fall 2024 Cohort,9-Apr-24,Workshop,Growth-Hacking and Go-to-market Strategies,Rockstart,https://rockstart.com/emerging-tech/,Rockstart Emerging Tech,Workshop,In-Person,1.5 Hours,https://rockstart.com/,-,-,-,"Amsterdam, Netherlands","Overhoeksplein 1, 1031 KS Amsterdam, Netherlands","Venture capital, startup accelerator",Accelerator,"VC, accelerator, emerging tech, impact, founders","GTM foundations, channel experiments, compounding loops, message-market fit, and a repeatable growth cadence.","positioning, channel testing, growth loops, activation, retention, funnel metrics",GTM Growth Systems,Start-ups and Entrepreneurship,Startup founders,"GTM, growth hacking, experimentation, startups, VC"
Rockstart Accelerator Spring - Spring 2024 Cohort,14-Mar-24,Workshop,Sales and Marketing: Growth Workshop,Rockstart,https://rockstart.com/emerging-tech/,Rockstart Emerging Tech,Workshop,In-Person,3 Hours,https://rockstart.com/,-,-,-,"Amsterdam, Netherlands","Overhoeksplein 1, 1031 KS Amsterdam, Netherlands","Venture capital, startup accelerator",Accelerator,"VC, accelerator, emerging tech, impact, founders","Outbound and inbound basics, ICP clarity, funnel math, offer design, and weekly habits that ship revenue.","ICP, outbound, inbound, funnel metrics, offer positioning, sales enablement",Sales and Growth,Start-ups and Entrepreneurship,Startup founders,"sales, marketing, outbound, funnel, startup growth"
Nordic Funding Day 2024,14-Mar-24,Conference,"Go-to-market Strategies, Growth Hacking",Connect Sverige,https://nordicedge.org/events/nordic-fund-day-stavanger24,Nordic Funding Day,Workshop,Online,30 Minutes,https://connectsverige.se/,https://connectsverige.se/event/nordic-funding-day-2024/,https://youtu.be/FF0AJKtkJbo?si=BdLNskUryaVqq2qr&t=7197,-,"Stockholm, Sweden",-,"Angel investing, startup ecosystem",Angel Network,"angel investors, startup financing, Sweden, mentorship, pitch events","GTM strategy, growth experiments, traction storytelling, and aligning go-to-market with fundraising realities.","positioning, traction metrics, growth experiments, investor narrative, channel strategy, pipeline",GTM for Funding,Start-ups and Entrepreneurship,Startup founders,"fundraising, GTM, growth hacking, traction, pitch"
Future of Outbound 2024,8-Feb-24,Conference,Building targeted audiences who actually respond to your messages,Belkins,https://belkins.io/future-of-outbound,Future of Outbound ,Keynote,Online,15 Minutes,https://belkins.io/,https://belkins.io/future-of-outbound,https://www.youtube.com/live/81pdu1Ffx4g?si=yKMk3WH5mS1MgZL5&t=200,-,"Dover, United States","8 The Green STE 4331, Dover, DE 19901, United States",B2B sales and lead generation services,Agency,"outbound, lead generation, appointment setting, ABM, B2B","Targeting systems, intent signals, segmentation, personalization, and building lists that earn replies.","ICP targeting, intent data, segmentation, personalization, copy hooks, deliverability",Outbound Targeting,Digital Marketing Sales,B2B sales teams,"outbound, targeting, ICP, ABM, lead gen"
2023,,,,,,,,,,,,,,,,,,,,,,,,
Why Your Go-to-Market Strategy Is Customer Success - Founder Institute,4-Dec-23,Accelerator Program Session,Why Your Go To Market Strategy Is Customer Success,Founder Institute,https://fi.co/overview,Founder Institute Program,Keynote,Online,20 Minutes,https://fi.co/,https://fi.co/,-,-,"Palo Alto, United States","265 Cambridge Ave #60417, Palo Alto, CA 94306, United States","Startup acceleration, entrepreneurship education",Accelerator,"entrepreneurship, accelerator, mentorship, fundraising, early-stage, startup education","Customer success as GTM engine, onboarding loops, retention metrics, expansion revenue","CS-led growth, onboarding, activation, retention, churn, NRR, expansion, playbooks, KPI discipline",Customer success GTM,Start-ups and Entrepreneurship,Startup founders,"go-to-market, customer success, retention, NRR, onboarding, growth systems"
Building Growth-Hacking Playbooks - Rockstart,8-Dec-23,Accelerator Program Session,Building Growth-hacking Playbooks,Rockstart,https://rockstart.com/,Rockstart Accelerator,Workshop,In-Person,1 Hour,https://rockstart.com/,https://rockstart.com/,-,-,"Amsterdam, Netherlands","Overhoeksplein 1, 1031 KS Amsterdam, Netherlands","Venture capital, startup acceleration",Venture Capital,"venture capital, accelerator, startups, Europe, mentorship, early-stage","Experiment framework, channel tests, prioritization, cadence, measurement discipline, rollout playbooks","ICE scoring, funnel mapping, experiment design, analytics, conversion, retention, weekly sprints, reporting",Growth playbooks,Start-ups and Entrepreneurship,Startup founders,"experimentation, growth hacking, playbooks, metrics, GTM, scaling"
Nordic Fintech Week,28-Sep-23,Conference,2024 and Beyond Blockchain Trends and Narratives,Nordic Fintech Week,https://nfweek.com/,Nordic Fintech Week 2023,Keynote,In-Person,25 Minutes,https://nfweek.com/,https://nfweek.com/,-,-,"Copenhagen, Denmark","TAP1, Raffinaderivej 10, 2300 Copenhagen S, Denmark","Fintech events, industry conference",Conference,"fintech, Nordics, conference, innovation, banking, startups","Crypto narratives, infra trends, regulation shifts, adoption signals, what to build next","L1/L2 landscape, RWAs, stablecoins, DePIN, AI plus crypto, regulation, consumer UX, narratives, go-to-market",Blockchain trends,"Blockchain, Crypto and Web3",Fintech leaders,"fintech, blockchain, narratives, regulation, trends, web3"
Pitch Panel - Founder Institute,6-Jul-23,Startup Pitch Event,Pitch Your Startup Idea to Nordic Experts & Investors Online,Founder Institute,https://fi.co/overview,Founder Institute Program,Panel,Online,1 Hour,https://fi.co/,https://fi.co/,-,-,"Palo Alto, United States","265 Cambridge Ave #60417, Palo Alto, CA 94306, United States","Startup acceleration, entrepreneurship education",Accelerator,"entrepreneurship, accelerator, mentorship, fundraising, early-stage, startup education","Rapid-fire pitches, investor feedback, storytelling fixes, traction checkpoints, next-step actions","Pitch structure, market sizing, traction proof, storytelling, investor Q&A, deck flow, narrative clarity, metrics",Pitch feedback,Start-ups and Entrepreneurship,Startup founders,"pitching, investors, storytelling, traction, fundraising, feedback"
Go-to-Market Growth - Founder Institute,4-Jul-23,Accelerator Program Session,Go to Market Growth,Founder Institute,https://fi.co/overview,Founder Institute Program,Workshop,Online,30 Minutes,https://fi.co/,https://fi.co/,-,-,"Palo Alto, United States","265 Cambridge Ave #60417, Palo Alto, CA 94306, United States","Startup acceleration, entrepreneurship education",Accelerator,"entrepreneurship, accelerator, mentorship, fundraising, early-stage, startup education","ICP, positioning, channel experiments, onboarding, retention loops, repeatable growth system","ICP, messaging, channel tests, funnel design, activation, retention, pricing signals, growth loops, KPIs",Go-to-market,Start-ups and Entrepreneurship,Startup founders,"GTM, positioning, experiments, acquisition, retention, growth"
Token Launch 101 - Crypto Summer Lab,22-Jun-23,Workshop,Token Launch 101,University of Austin (UATX),https://csl.chainhub.foundation/,Crypto Summer Lab 2023,Workshop,Online,1 Hour,https://www.uaustin.org/,https://csl.chainhub.foundation/,-,-,"Austin, United States","Indeed Tower, 200 W 6th St, Austin, TX 78701, United States",Higher education,University,"higher education, entrepreneurship, Austin, tech, education, innovation","Token launch basics, distribution, incentives, community, liquidity planning, compliance considerations","Tokenomics, distribution, vesting, airdrops, liquidity, exchange strategy, community building, legal basics",Token launch,"Blockchain, Crypto and Web3",Web3 founders,"tokenomics, launch, community, incentives, web3, fundraising"
Go-to-Market Strategies for Scaling Your Startup - Founder Institute,21-Jun-23,Accelerator Program Session,Go-To-Market Strategies for Scaling Your Startup,Founder Institute,https://fi.co/overview,Founder Institute Program,Workshop,Online,2 Hours,https://fi.co/,https://fi.co/,-,-,"Palo Alto, United States","265 Cambridge Ave #60417, Palo Alto, CA 94306, United States","Startup acceleration, entrepreneurship education",Accelerator,"entrepreneurship, accelerator, mentorship, fundraising, early-stage, startup education","Channel selection, growth loops, pipeline math, retention, scaling playbooks, team cadence","Channel strategy, experimentation, funnel math, retention levers, lifecycle messaging, ops cadence, KPI reviews",Scaling GTM,Start-ups and Entrepreneurship,Startup founders,"scaling, GTM, growth loops, retention, experiments, metrics"
Growth-Hacking Your Web3 Startup to Get Traction - Techstars Web3,23-May-23,Accelerator Program Session,Growth-Hacking Your Web3 Startup to Get Traction,Techstars,https://www.techstars.com/newsroom/announcing-the-techstars-web3-accelerator,Techstars Web3 Accelerator,Workshop,Online,1 Hour,https://www.techstars.com/,https://www.techstars.com/accelerators/web3,-,-,"Dublin, Ireland",-,"Startup acceleration, venture capital",Startup Accelerator,"startup accelerator, venture capital, mentorship, founders, global network, programs","Web3 traction plan, community loops, partnerships, onboarding, activation metrics, repeatable experiments","Community flywheels, quests, referrals, partnerships, activation, retention, token incentives, analytics, GTM",Web3 growth,"Blockchain, Crypto and Web3",Web3 founders,"growth hacking, web3, community, partnerships, activation, GTM"
Digital Marketing for Early-Stage Blockchain Builders - Crypto Summer Lab,22-May-23,Workshop,Digital Marketing for Early Stage Blockchain Builders,ChainHub Foundation,https://csl.chainhub.foundation/,Crypto Summer Lab 2023,Workshop,Online,1 Hour,https://csl.chainhub.foundation/,https://csl.chainhub.foundation/,-,-,"Austin, United States","Indeed Tower, 200 W 6th St, Austin, TX 78701, United States","Web3 incubation, builder education",Web3 Incubator,"web3, incubator, community, education, accelerator, builders","Channel strategy, content, partnerships, community flywheels, launch sequencing, analytics for Web3 builders","Content ops, social proof, partnerships, community growth, launch planning, attribution basics, messaging, funnels",Web3 marketing,"Blockchain, Crypto and Web3",Web3 builders,"web3 marketing, content, community, partnerships, launch, growth"
Norway Fintech Festival,26-Apr-23,Conference,"The future of crypto Now, Tomorrow and Beyond",Norway Fintech Festival,https://www.norwayfintechfestival.no/,Norway Fintech Festival 2023,Panel,In-Person,20 Minutes,https://www.norwayfintechfestival.no/,https://www.norwayfintechfestival.no/,-,-,"Bergen, Norway","Media City Bergen, Lars Hilles gate 30, 5008 Bergen, Norway","Fintech events, industry conference",Conference,"fintech, Norway, conference, innovation, banking, startups","Panel on crypto direction, regulation, adoption, DeFi, infrastructure, investor sentiment shifts","Regulation, DeFi, institutional adoption, custody, infra trends, narratives, risk, opportunity landscape",Crypto outlook,"Blockchain, Crypto and Web3",Fintech audience,"crypto, regulation, DeFi, adoption, fintech, trends"
Norway Fintech Festival,25-Apr-23,Conference,The Disruption of the Financial Industry How are Blockchain Technology and Cryptocurrencies Making Banks Obsolete,Norway Fintech Festival,https://www.norwayfintechfestival.no/,Norway Fintech Festival 2023,Keynote,In-Person,20 Minutes,https://www.norwayfintechfestival.no/,https://www.norwayfintechfestival.no/,-,-,"Bergen, Norway","Media City Bergen, Lars Hilles gate 30, 5008 Bergen, Norway","Fintech events, industry conference",Conference,"fintech, Norway, conference, innovation, banking, startups","Banks vs onchain rails, custody shifts, payments disruption, DeFi primitives, new business models","Payments, custody, onchain settlement, DeFi, stablecoins, compliance, bank innovation paths, business-model shifts",Fintech disruption,"Blockchain, Crypto and Web3",Banking and fintech leaders,"banking, blockchain, payments, DeFi, disruption, crypto"
Marketing Business Summit,19-May-23,Conference,SEO for Organic Growth,YourDigitalWeb,https://mbsummit.it/,Marketing Business Summit 2023,Keynote,Online,30 Minutes,https://www.yourdigitalweb.com/,https://mbsummit.it/,-,-,"Milan, Italy","Hotel Melià, Via Masaccio 19, 20149 Milan, Italy","Digital marketing services, SEO consulting",SEO and Digital Agency,"SEO, digital agency, Italy, consulting, training, events","SEO systems, technical hygiene, content strategy, link acquisition, measurable organic demand growth","Technical SEO, content strategy, topical authority, link building, SERP intent, audits, scalable workflows, reporting",SEO growth,Digital Marketing and Sales,Marketers,"SEO, organic growth, content, link building, technical SEO, demand gen"
Product-led Growth in Web3 - Techstars Crypto Boston,23-Feb-23,Accelerator Program Session,Product-led growth in Web3 & Growth Marketing that works,Techstars,https://www.techstars.com/accelerators/crypto-boston-algorand,"Techstars Crypto Boston, powered by Algorand",Workshop,Online,1 Hour,https://www.techstars.com/,https://www.techstars.com/accelerators/boston,-,-,"Boston, United States",-,"Startup acceleration, venture capital",Startup Accelerator,"startup accelerator, venture capital, mentorship, startups, Boston, global network","PLG in Web3, activation funnels, retention loops, community-led distribution, measurable growth metrics","Activation, onboarding, retention, product loops, community, metrics, experimentation, positioning, lifecycle messaging",PLG growth,"Blockchain, Crypto and Web3",Web3 founders,"PLG, web3, activation, retention, growth marketing, funnels"
How to Get Started in Web3 - Blockchain Student Group,21-Feb-23,Meetup,How to Get Started in Web3,IT University of Copenhagen,https://www.meetup.com/blockchain-student-group/events/291300717/,Blockchain Student Group,Workshop,Online,1.5 Hours,https://en.itu.dk/,https://www.meetup.com/blockchain-student-group/events/291300717/,-,-,"Copenhagen, Denmark","Rued Langgaards Vej 7, 2300 København S, Denmark","Higher education, computer science",University,"higher education, computer science, Copenhagen, innovation, students, research","Wallets, onchain basics, DeFi and NFTs, career paths, practical starter roadmap","Wallet setup, security, DeFi basics, NFTs, tooling, ecosystems, career entry points, learning path",Web3 basics,"Blockchain, Crypto and Web3",Students,"web3, education, DeFi, wallets, careers, beginners"
Getting Traction with Growth Hacking - Startup Wise Guys Sustainability,20-Feb-23,Accelerator Program Session,Getting Traction with Growth-Hacking on your sustainable startup,Startup Wise Guys,https://startupwiseguys.com/sustainability-accelerator/,Sustainability Accelerator,Workshop,In-Person,1.5 Hours,https://startupwiseguys.com/,https://startupwiseguys.com/,-,-,"Tallinn, Estonia","A. Lauteri tn 3, 10114 Tallinn, Estonia","Startup acceleration, seed investment",Accelerator,"accelerator, startups, mentorship, sustainability, Europe, seed funding","Traction quick wins, channel prioritization, experiment design, messaging tests, KPI discipline","Channel testing, positioning, ICP, growth loops, experiments, pipeline math, analytics, retention, prioritization",Traction,Start-ups and Entrepreneurship,Sustainability startups,"growth hacking, traction, sustainability, experimentation, GTM, metrics"
TMRW CONF Dubai,6-Feb-23,Conference,Launching and Scaling on Web3,TMRW CONF,https://tmrwconf.net/dubai-conference-2023-crypto-nft-metaverse/,TMRW CONF Dubai 2023,Keynote,In-Person,30 Minutes,https://tmrwconf.net/,https://tmrwconf.net/,-,-,"Dubai, United Arab Emirates","Festival Arena, Dubai Festival City, Al Badia Blvd, Dubai, United Arab Emirates","Web3 events, crypto conferences",Conference Organizer,"crypto, nft, metaverse, conference, Dubai, web3","Web3 launch playbook, positioning, community engine, partnerships, token incentives, growth metrics","GTM, token marketing, community, partnerships, launch sequencing, growth loops, metrics, narrative building",Web3 launch,"Blockchain, Crypto and Web3",Web3 founders,"web3, token launch, community, partnerships, GTM, growth"
Web3 Wednesdays,25-Jan-23,Meetup,Growth-Hacking in Web3,ChiliBangs,https://chilibangs.org/,Web3 Wednesdays Series,Keynote,In-Person,1.5 Hours,https://chilibangs.org/,https://www.meetup.com/chilibangs/,-,-,"Lisbon, Portugal",-,"Web3 community events, networking",Event Studio,"web3, community, events, Lisbon, networking, crypto","Community growth loops, partnerships, referral mechanics, distribution playbooks for Web3 founders","Community flywheels, partnerships, referrals, content, incentives, onboarding, activation, growth experiments",Web3 growth,"Blockchain, Crypto and Web3",Web3 community,"community, growth hacking, web3, partnerships, referrals, distribution"
Mentor Sessions - Techstars Crypto Boston,25-Jan-23,Accelerator Program Session,Mentor Sessions Tech Stars Boston Algorand,Techstars,https://www.techstars.com/accelerators/crypto-boston-algorand,"Techstars Crypto Boston, powered by Algorand",Panel,Online,1 Hour,https://www.techstars.com/,https://www.techstars.com/accelerators/boston,-,-,"Boston, United States",-,"Startup acceleration, venture capital",Startup Accelerator,"startup accelerator, venture capital, mentorship, startups, Boston, global network","Founder Q&A, growth blockers, GTM tuning, product feedback, next-step action plan","Mentorship, GTM review, growth diagnostics, positioning, funnel fixes, product feedback, metrics, execution plan",Mentorship,Start-ups and Entrepreneurship,Web3 founders,"mentorship, accelerator, GTM, growth, product, web3"
Automated Outreach for First Customers - Founder Institute,16-Jan-23,Accelerator Program Session,Go to Market Growth Via Automated Outreach Get your first customers,Founder Institute,https://fi.co/overview,Founder Institute Program,Keynote,Online,20 Minutes,https://fi.co/,https://fi.co/,-,-,"Palo Alto, United States","265 Cambridge Ave #60417, Palo Alto, CA 94306, United States","Startup acceleration, entrepreneurship education",Accelerator,"entrepreneurship, accelerator, mentorship, fundraising, early-stage, startup education","Outbound automation, personalization at scale, lead sourcing, sequencing, replies, pipeline from scratch","Lead sourcing, personalization, sequencing, copy testing, deliverability, reply handling, pipeline math, CRM hygiene",Automated outreach,Digital Marketing Sales,Sales and growth teams,"outbound, outreach, automation, lead gen, personalization, sequencing"
2022,,,,,,,,,,,,,,,,,,,,,,,,
Epic Web3 Summit,8-Dec-22,Conference,Must-See Marketing Growth Hacks When Launching Your Token,Epic Web3,https://www.epicweb3.com/,Epic Web3 Summit,Keynote,Online,30 Minutes,https://www.epicweb3.com/,https://www.epicweb3.com/,-,-,"Lisbon, Portugal",-,Web3 events and media,Events Community,"Web3, Events, Media, Crypto, Community","Token launch playbook, narrative, community loops, partnerships, acquisition channels, retention","Token launch strategy, positioning, community growth, partnerships, growth loops, acquisition channels, retention",Token launch growth,Blockchain Crypto and Web3,Crypto founders,"Token launch, Web3 marketing, Growth hacking, Community, Partnerships"
Nordic Pitch Battle 2022,7-Dec-22,Startup Competition,Roadmap Your Growth Strategy for Traction-First Startups,Nutty Ventures,https://www.nuttyventures.com/,Nordic Pitch Battle,Keynote,Online,30 Minutes,https://www.nuttyventures.com/,https://www.linkedin.com/events/6973017595364954112,https://youtu.be/mxUEVppCeTY,-,"Stockholm, Sweden",-,Startup ecosystem and events,Startup Ecosystem Builder,"Startups, Ecosystem, Events, Nordics, Investors","Growth roadmap, ICP clarity, channel tests, traction milestones, pitch-ready storytelling","ICP, positioning, channel experiments, funnel, metrics, traction milestones, investor narrative",Go-to-market strategy,Start-ups and Entrepreneurship,Startup founders,"Go-to-market, Growth strategy, Pitching, Early-stage, Nordics"
Nordic Blockchain Conference,1-Dec-22,Conference,The Future of Trading and Digital Assets,Nordic Blockchain Association,https://nordicblockchainconference.com/,Nordic Blockchain Conference,Moderator,In-Person,40 Minutes,https://nordicblockchainconference.com/,https://nordicblockchainconference.com/#,-,-,"Copenhagen, Denmark","Dansk Industri, H.C. Andersens Boulevard 18, 1553 København V, Denmark",Blockchain community and events,Industry Association,"Blockchain, Events, Community, Nordics, Policy","Market structure, regulation, exchanges, custody, risk, institutional adoption","Trading, regulation, market structure, custody, institutional adoption, risk management",Trading and digital assets,Blockchain Crypto and Web3,Digital assets,"Trading, Regulation, Markets, Institutional, Crypto"
Nordea DigiTalks,29-Nov-22,Webinar,Understanding Blockchain Technology and Nordea's Opportunities in Web3,Nordea,https://business-video.nordea.dk/webinars,Nordea Webinars (DigiTalks),Workshop,Online,1 Hour,https://www.nordea.com/,https://nordea.dk/,-,-,"Helsinki, Finland","Satamaradankatu 5, 00020 Nordea, Helsinki, Finland",Banking and financial services,Bank,"Banking, Finance, Nordics, Corporate, Digital services","Blockchain fundamentals, enterprise use cases, risk, compliance, banking opportunities, Web3 landscape","Blockchain basics, enterprise use cases, compliance, risk, banking strategy, Web3 market mapping",Blockchain in banking,Blockchain Crypto and Web3,Banking,"Banking, Blockchain, Web3, Compliance, Enterprise"
Tech Career Show,29-Nov-22,Webinar,Starting Your Career in Web3,Career Show,https://careershow.bg/,Career Show Tech,Keynote,Online,30 Minutes,https://careershow.bg/,https://techcareershow.com/,-,-,"Sofia, Bulgaria",-,Recruiting events and media,Career Events,"Careers, Recruitment, Events, Tech talent, Online summits","Web3 career map, roles, skill stacks, portfolios, communities, first opportunities, safety basics","Career paths, roles, skills, portfolio, networking, communities, safety",Web3 careers,Job Search,Early career tech,"Web3, Careers, Networking, Skills, Entry-level"
