resource_id,url,google_type,prior_http_status,prior_reason,source_file,source_line_before_cleanup,project_title,resource_label,offline_match_status,offline_best_path,offline_best_sha256,future_sync_action,affected_items,removed_labels,public_results,source_occurrence_count
rpm-0022,https://drive.google.com/file/d/1E61ZhhUvYRAYMTIL1igf8naPHx-qUOPf/view,google-drive,404,HTTP missing response.,assets/js/some_work_data.js,4006,Sustainable Marketing: What It Is and How to Use It,Landscape,missing_artifact,Ref Docs/Trust Signals/Client Logos/social-media-today-logo.png,4223eedc500197b9095eff3391621f09cb231e266a4b0c7feaedd777eeff4962,No likely offline artifact found; keep the manifest record and decide whether to hide the public link or rebuild the resource.,Sustainable Marketing: What It Is and How to Use It,Landscape | Square | Vertical,remaining links preserved,1
rpm-0023,https://drive.google.com/file/d/1eboAK8E-HDlL886kLr_b7lUJS3TwsQMn/view,google-drive,404,HTTP missing response.,assets/js/some_work_data.js,9354,Micro-influencers can outperform big names | Email is not dead,Landscape,missing_artifact,Ref Docs/Trust Signals/Client Logos/social-media-today-logo.png,4223eedc500197b9095eff3391621f09cb231e266a4b0c7feaedd777eeff4962,No likely offline artifact found; keep the manifest record and decide whether to hide the public link or rebuild the resource.,Micro-influencers can outperform big names,Landscape,remaining links preserved,1
rpm-0024,https://drive.google.com/file/d/1eCo5Lze5dxD4ddxfd2TDZdTMuvLW1lEQ/view,google-drive,404,HTTP missing response.,assets/js/some_work_data.js,3518,Marketing Statistics,Landscape,missing_artifact,Ref Docs/Work/Public Speaking/Images/Event Banners/Growth Secrets - Social media amplificaiton.jfif,7e12e68e3b070870ba4d9300f2bd5220b909eacf9131237c3f41ffc00c9fbd46,No likely offline artifact found; keep the manifest record and decide whether to hide the public link or rebuild the resource.,Marketing Statistics | YouTube is mainstream (still),Landscape,remaining links preserved,2
rpm-0025,https://drive.google.com/file/d/1EZaJvfoxgMoDl8Q_Jezkc_o5QYvZ88B0/view,google-drive,404,HTTP missing response.,assets/js/some_work_data.js,8236,"Email traffic drives more purchases | Trust is a relationship, not a transaction",Landscape,missing_artifact,Ref Docs/Trust Signals/Client Logos/social-media-today-logo.png,4223eedc500197b9095eff3391621f09cb231e266a4b0c7feaedd777eeff4962,No likely offline artifact found; keep the manifest record and decide whether to hide the public link or rebuild the resource.,Email traffic drives more purchases,Landscape,remaining links preserved,1
rpm-0026,https://drive.google.com/file/d/1f2zq4GrJGhEcxMQNRMQeD60427V_zSoj/view,google-drive,404,HTTP missing response.,assets/js/some_work_data.js,8619,Bad service loses customers fast | LinkedIn audience is not one-size-fits-all,Landscape,missing_artifact,Ref Docs/Trust Signals/Client Logos/social-media-today-logo.png,4223eedc500197b9095eff3391621f09cb231e266a4b0c7feaedd777eeff4962,No likely offline artifact found; keep the manifest record and decide whether to hide the public link or rebuild the resource.,Bad service loses customers fast,Landscape,remaining links preserved,1
rpm-0027,https://drive.google.com/file/d/1FicULlioWQpqXF6rCxjZ8X3VDMbXFkbt/view?usp=sharing,google-drive,404,HTTP missing response.,assets/js/some_work_data.js,2612,Meet the Team: Julia González | Meet the Team: Giovanni Buffa,Landscape,missing_artifact,Ref Docs/Trust Signals/Client Logos/social-media-today-logo.png,4223eedc500197b9095eff3391621f09cb231e266a4b0c7feaedd777eeff4962,No likely offline artifact found; keep the manifest record and decide whether to hide the public link or rebuild the resource.,Meet the Team: Julia González,Landscape,remaining links preserved,1
rpm-0028,https://drive.google.com/file/d/1G1I-mbbXMQ6My1SDA_MYoqbwQcKoHI_Y/view,google-drive,404,HTTP missing response.,assets/js/some_work_data.js,8268,Know your audience by platform | Email traffic drives more purchases,Landscape,missing_artifact,Ref Docs/Trust Signals/Client Logos/social-media-today-logo.png,4223eedc500197b9095eff3391621f09cb231e266a4b0c7feaedd777eeff4962,No likely offline artifact found; keep the manifest record and decide whether to hide the public link or rebuild the resource.,Know your audience by platform,Landscape,remaining links preserved,1
rpm-0029,https://drive.google.com/file/d/1GChGtGu4nhWT_tAhfNUBhLOQaDVczivA/view,google-drive,404,HTTP missing response.,assets/js/some_work_data.js,8118,Not suitable | 60+ Pros and Cons of Instagram (2021),Landscape,missing_artifact,Ref Docs/Trust Signals/Client Logos/social-media-today-logo.png,4223eedc500197b9095eff3391621f09cb231e266a4b0c7feaedd777eeff4962,No likely offline artifact found; keep the manifest record and decide whether to hide the public link or rebuild the resource.,Not suitable,Square,remaining links preserved,1
rpm-0030,https://drive.google.com/file/d/1gkTdJVNfKvfPBwIpFC1C-OtFZikwj8Pv/view,google-drive,404,HTTP missing response.,assets/js/some_work_data.js,8244,Email traffic drives more purchases,Square,missing_artifact,Ref Docs/Trust Signals/Client Logos/social-media-today-logo.png,4223eedc500197b9095eff3391621f09cb231e266a4b0c7feaedd777eeff4962,No likely offline artifact found; keep the manifest record and decide whether to hide the public link or rebuild the resource.,Email traffic drives more purchases,Square,remaining links preserved,1
rpm-0031,https://drive.google.com/file/d/1HktR213DhkMeQ15-5x3orn15Qp9Jls4H/view,google-drive,404,HTTP missing response.,assets/js/some_work_data.js,8499,Facebook still reaches massive scale,Square,missing_artifact,Ref Docs/Work/Public Speaking/Images/Staff/square-collage.jpg,27ed996fdda1b2c944ba749e93852e39d03325feb1fac478e5bc55bdcb9210df,No likely offline artifact found; keep the manifest record and decide whether to hide the public link or rebuild the resource.,Facebook still reaches massive scale,Square,remaining links preserved,1
rpm-0032,https://drive.google.com/file/d/1Hrccmf_P-sj20XoORJyVElgudG43v9aC/view,google-drive,404,HTTP missing response.,assets/js/some_work_data.js,8587,LinkedIn audience is not one-size-fits-all | Twitter keeps growing,Landscape,missing_artifact,Ref Docs/Work/Public Speaking/Images/Event Banners/Growth Secrets - Social media amplificaiton.jfif,7e12e68e3b070870ba4d9300f2bd5220b909eacf9131237c3f41ffc00c9fbd46,No likely offline artifact found; keep the manifest record and decide whether to hide the public link or rebuild the resource.,LinkedIn audience is not one-size-fits-all,Landscape,remaining links preserved,1
rpm-0033,https://drive.google.com/file/d/1i3FMlhPQ6kfhb7p1iopgl7DNhuxBQjGg/view,google-drive,404,HTTP missing response.,assets/js/some_work_data.js,3526,Marketing Statistics,Square | Vertical,missing_artifact,Ref Docs/Work/Public Speaking/Images/Event Banners/Growth Secrets - Social media amplificaiton.jfif,7e12e68e3b070870ba4d9300f2bd5220b909eacf9131237c3f41ffc00c9fbd46,No likely offline artifact found; keep the manifest record and decide whether to hide the public link or rebuild the resource.,Marketing Statistics | YouTube is mainstream (still),Square,remaining links preserved,2
rpm-0034,https://drive.google.com/file/d/1IAePrKk1svTbP6w69HGWMmNCf1VBoMnU/view?usp=sharing,google-drive,404,HTTP missing response.,assets/js/some_work_data.js,3088,Staying ahead in digital marketing | SEO is a long game,Landscape,missing_artifact,Ref Docs/Work/Public Speaking/Images/Event Banners/Growth Secrets - Social media amplificaiton.jfif,7e12e68e3b070870ba4d9300f2bd5220b909eacf9131237c3f41ffc00c9fbd46,No likely offline artifact found; keep the manifest record and decide whether to hide the public link or rebuild the resource.,Staying ahead in digital marketing | A simple process for high-performance ads,Landscape,no public link available,2
rpm-0035,https://drive.google.com/file/d/1Irpl1WskuACTzSuxvLU9CeTFpI3b2F7V/view,google-drive,404,HTTP missing response.,assets/js/some_work_data.js,8563,Twitter keeps growing,Square,missing_artifact,Ref Docs/Work/Public Speaking/Images/Event Banners/Growth Secrets - Social media amplificaiton.jfif,7e12e68e3b070870ba4d9300f2bd5220b909eacf9131237c3f41ffc00c9fbd46,No likely offline artifact found; keep the manifest record and decide whether to hide the public link or rebuild the resource.,Twitter keeps growing,Square,remaining links preserved,1
rpm-0036,https://drive.google.com/file/d/1iTIA1qkx3Z9QoWeNC48dxedMnmtQDTr2/view,google-drive,404,HTTP missing response.,assets/js/some_work_data.js,8523,Instagram kept growing in Western Europe | Facebook still reaches massive scale,Landscape,missing_artifact,Ref Docs/Work/Public Speaking/Images/Event Banners/Growth Secrets - Social media amplificaiton.jfif,7e12e68e3b070870ba4d9300f2bd5220b909eacf9131237c3f41ffc00c9fbd46,No likely offline artifact found; keep the manifest record and decide whether to hide the public link or rebuild the resource.,Instagram kept growing in Western Europe,Landscape,remaining links preserved,1
rpm-0037,https://drive.google.com/file/d/1jwzfQe2tqzYHTm9yi7cfoXyb4VokjVcA/view?usp=sharing,google-drive,404,HTTP missing response.,assets/js/some_work_data.js,2440,"Meet Coco, Marketing Intern",Square | Landscape,missing_artifact,Ref Docs/Trust Signals/Client Logos/social-media-today-logo.png,4223eedc500197b9095eff3391621f09cb231e266a4b0c7feaedd777eeff4962,No likely offline artifact found; keep the manifest record and decide whether to hide the public link or rebuild the resource.,"Meet Coco, Marketing Intern",Square,no public link available,1
rpm-0038,https://drive.google.com/file/d/1KI9DlsNEMCGuNcU5KxuBkA__5MTUr8Ko/view,google-drive,404,HTTP missing response.,assets/js/some_work_data.js,8307,Email marketing ROI is huge,Square,missing_artifact,Ref Docs/Work/Public Speaking/Images/Staff/square-collage.jpg,27ed996fdda1b2c944ba749e93852e39d03325feb1fac478e5bc55bdcb9210df,No likely offline artifact found; keep the manifest record and decide whether to hide the public link or rebuild the resource.,Email marketing ROI is huge,Square,remaining links preserved,1
rpm-0039,https://drive.google.com/file/d/1klbUrey6h9G9aOLy1OVcxD4Tnlp1YtR2/view,google-drive,404,HTTP missing response.,assets/js/some_work_data.js,8627,Bad service loses customers fast,Square,missing_artifact,Ref Docs/Work/Public Speaking/Images/Staff/square-collage.jpg,27ed996fdda1b2c944ba749e93852e39d03325feb1fac478e5bc55bdcb9210df,No likely offline artifact found; keep the manifest record and decide whether to hide the public link or rebuild the resource.,Bad service loses customers fast,Square,remaining links preserved,1
rpm-0040,https://drive.google.com/file/d/1kSLdPibj1iYMBMEAxkw08HTGymRuESuF/view,google-drive,404,HTTP missing response.,assets/js/some_work_data.js,9226,Win the first 8 seconds | Paid social is the baseline now,Landscape,missing_artifact,Ref Docs/Trust Signals/Client Logos/social-media-today-logo.png,4223eedc500197b9095eff3391621f09cb231e266a4b0c7feaedd777eeff4962,No likely offline artifact found; keep the manifest record and decide whether to hide the public link or rebuild the resource.,Win the first 8 seconds,Landscape,remaining links preserved,1
rpm-0041,https://drive.google.com/file/d/1loz5CMrNHHu1F7lGJBxMbUWpu2mpDWME/view,google-drive,404,HTTP missing response.,assets/js/some_work_data.js,8276,Know your audience by platform,Square,missing_artifact,Ref Docs/Work/Public Speaking/Images/Staff/square-collage.jpg,27ed996fdda1b2c944ba749e93852e39d03325feb1fac478e5bc55bdcb9210df,No likely offline artifact found; keep the manifest record and decide whether to hide the public link or rebuild the resource.,Know your audience by platform,Square,remaining links preserved,1
rpm-0042,https://drive.google.com/file/d/1LpHjvNsbr2MqELnG81qwZhcZcJKZi8CE/view,google-drive,404,HTTP missing response.,assets/js/some_work_data.js,9322,Email is not dead | Google searches an enormous web index,Landscape,missing_artifact,Ref Docs/Trust Signals/Client Logos/social-media-today-logo.png,4223eedc500197b9095eff3391621f09cb231e266a4b0c7feaedd777eeff4962,No likely offline artifact found; keep the manifest record and decide whether to hide the public link or rebuild the resource.,Email is not dead,Landscape,remaining links preserved,1
rpm-0043,https://drive.google.com/file/d/1lSgR1DQ2qgxyAQeMhluztO_uftcNassy/view,google-drive,404,HTTP missing response.,assets/js/some_work_data.js,9290,Google searches an enormous web index | Make visuals part of the strategy,Landscape,missing_artifact,Ref Docs/Trust Signals/Client Logos/social-media-today-logo.png,4223eedc500197b9095eff3391621f09cb231e266a4b0c7feaedd777eeff4962,No likely offline artifact found; keep the manifest record and decide whether to hide the public link or rebuild the resource.,Google searches an enormous web index,Landscape,remaining links preserved,1
rpm-0044,https://drive.google.com/file/d/1MUYZ0sLy--3wZLZD-0gKzPSLr7Ii40m1/view?usp=sharing,google-drive,404,HTTP missing response.,assets/js/some_work_data.js,2558,Meet the Team: Giacomo Piccinini,Square,missing_artifact,Ref Docs/Work/Public Speaking/Images/Staff/square-collage.jpg,27ed996fdda1b2c944ba749e93852e39d03325feb1fac478e5bc55bdcb9210df,No likely offline artifact found; keep the manifest record and decide whether to hide the public link or rebuild the resource.,Meet the Team: Giacomo Piccinini,Square,remaining links preserved,1
rpm-0045,https://drive.google.com/file/d/1MWpGVdpalQ3L3lsgEgXscGxV3wsRnaFL/view,google-drive,404,HTTP missing response.,assets/js/some_work_data.js,8747,In-house vs outsource is a real split | YouTube is mainstream (still),Landscape,missing_artifact,Ref Docs/Trust Signals/Client Logos/social-media-today-logo.png,4223eedc500197b9095eff3391621f09cb231e266a4b0c7feaedd777eeff4962,No likely offline artifact found; keep the manifest record and decide whether to hide the public link or rebuild the resource.,In-house vs outsource is a real split,Landscape,remaining links preserved,1
rpm-0046,https://drive.google.com/file/d/1NWTthH2TjKb-FPwUzljpLsX3nztzVgye/view?usp=sharing,google-drive,404,HTTP missing response.,assets/js/some_work_data.js,2589,Meet the Team: Giovanni Buffa,Square,missing_artifact,Ref Docs/Work/Public Speaking/Images/Staff/square-collage.jpg,27ed996fdda1b2c944ba749e93852e39d03325feb1fac478e5bc55bdcb9210df,No likely offline artifact found; keep the manifest record and decide whether to hide the public link or rebuild the resource.,Meet the Team: Giovanni Buffa,Square,remaining links preserved,1
rpm-0047,https://drive.google.com/file/d/1oCcjgTTadugcxEX9hWjQJsiKRKtSI15g/view?usp=sharing,google-drive,404,HTTP missing response.,assets/js/some_work_data.js,8178,Klint Page | Klint Marketing,Landscape,missing_artifact,Ref Docs/Work/Public Speaking/Images/Event Banners/Growth Secrets - Social media amplificaiton.jfif,7e12e68e3b070870ba4d9300f2bd5220b909eacf9131237c3f41ffc00c9fbd46,No likely offline artifact found; keep the manifest record and decide whether to hide the public link or rebuild the resource.,Klint Page,Square,remaining links preserved,1
rpm-0048,https://drive.google.com/file/d/1OjlNqLmnXBrtRGyKigIYaYNY7DzWGkQN/view?usp=sharing,google-drive,404,HTTP missing response.,assets/js/some_work_data.js,2461,"Meet Femke, Marketing Intern | Meet Coco, Marketing Intern",Landscape,missing_artifact,Ref Docs/Trust Signals/Client Logos/social-media-today-logo.png,4223eedc500197b9095eff3391621f09cb231e266a4b0c7feaedd777eeff4962,No likely offline artifact found; keep the manifest record and decide whether to hide the public link or rebuild the resource.,"Meet Femke, Marketing Intern",Landscape,no public link available,1
rpm-0049,https://drive.google.com/file/d/1oOddcoh0-eKsiMJIDJCgZmC7MCxLOjXU/view,google-drive,404,HTTP missing response.,assets/js/some_work_data.js,8459,Blogging fuels backlinks | Webinars pull strong attendance,Landscape,missing_artifact,Ref Docs/Trust Signals/Client Logos/social-media-today-logo.png,4223eedc500197b9095eff3391621f09cb231e266a4b0c7feaedd777eeff4962,No likely offline artifact found; keep the manifest record and decide whether to hide the public link or rebuild the resource.,Blogging fuels backlinks,Landscape,remaining links preserved,1
rpm-0050,https://drive.google.com/file/d/1oSIm6gdW0J_ZVBln5QJbzMEqPQNTgfRK/view,google-drive,404,HTTP missing response.,assets/js/some_work_data.js,8467,Blogging fuels backlinks,Square,missing_artifact,Ref Docs/Work/Public Speaking/Images/Staff/square-collage.jpg,27ed996fdda1b2c944ba749e93852e39d03325feb1fac478e5bc55bdcb9210df,No likely offline artifact found; keep the manifest record and decide whether to hide the public link or rebuild the resource.,Blogging fuels backlinks,Square,remaining links preserved,1
rpm-0051,https://drive.google.com/file/d/1oT7trGt2TgdCA2RVND7ZNZRCFh316Ig7/view?usp=sharing,google-drive,404,HTTP missing response.,assets/js/some_work_data.js,2320,"Meet Raluca, Graphic Design Intern",Square,missing_artifact,Ref Docs/Work/Public Speaking/Images/Staff/square-collage.jpg,27ed996fdda1b2c944ba749e93852e39d03325feb1fac478e5bc55bdcb9210df,No likely offline artifact found; keep the manifest record and decide whether to hide the public link or rebuild the resource.,"Meet Raluca, Graphic Design Intern",Square,no public link available,1
rpm-0052,https://drive.google.com/file/d/1OUlUx7r2RY2K5ubaf9xNiIdJPVwPKUV7/view,google-drive,404,HTTP missing response.,assets/js/some_work_data.js,8659,Marketing automation budgets are climbing,Square,missing_artifact,Ref Docs/Work/Public Speaking/Images/Staff/square-collage.jpg,27ed996fdda1b2c944ba749e93852e39d03325feb1fac478e5bc55bdcb9210df,No likely offline artifact found; keep the manifest record and decide whether to hide the public link or rebuild the resource.,Marketing automation budgets are climbing,Square,remaining links preserved,1
rpm-0053,https://drive.google.com/file/d/1p01vTt9e0HkjP0gxAbqsrei39qP2Vxz5/view?usp=sharing,google-drive,404,HTTP missing response.,assets/js/some_work_data.js,2374,"Meet Pavel, Video Production Intern | Meet Felix, Web Developer Intern",Landscape,missing_artifact,Ref Docs/Trust Signals/Client Logos/social-media-today-logo.png,4223eedc500197b9095eff3391621f09cb231e266a4b0c7feaedd777eeff4962,No likely offline artifact found; keep the manifest record and decide whether to hide the public link or rebuild the resource.,"Meet Pavel, Video Production Intern",Landscape,no public link available,1
