Project Name,Website,Description,Activation,Action,Name of Quest,Tags,Type,Expertise,Activities,Live URL,Referral Link,Quest Doc,Application,Documentation,Blog,X,Discord,Telegram,Github,Linkedin,Token,Listing
Membit,https://membit.ai,Live AI context layer for real-time social data,2914,Download browser extension and earn rewards passively,Membit – Live AI Context Layer,"AI, Context Layer, DePIN, Social Data","DePIN Product Quest, Data Collection",Beginner,"Download extension, browse web, earn rewards, complete tasks",https://app.layer3.xyz/activations/membit-live-ai-context-layer,https://hunter.membit.ai/?code=GFHIIPIX,https://docs.google.com/document/d/1o6rO1vNPGjuMr75du3n5Dnn1ZeQS5fJdnwbBouBNysY/,https://hunter.membit.ai,https://docs.membit.ai/,N/A,https://x.com/membit_ai,https://discord.bandprotocol.com/,N/A,https://github.com/bandprotocol?q=membit,N/A,TGE Soon,N/A
Arch Network,https://arch.network,Bitcoin-native execution layer for DeFi and smart contracts,2854,Test Bitcoin-native smart contract functionality,Arch Network – Bitcoin-native Execution for DeFi Scale,"Bitcoin, Layer 1, DeFi, Smart Contracts","On-Chain Activity, Bitcoin DeFi",Expert,"Connect wallet, test smart contracts, bridge Bitcoin, earn points",https://app.layer3.xyz/activations/arch-network-bitcoin-native-execution-for-defi-scale,https://dashboard.arch.network?referralCode=a1701dfa-3d14-4a4a-a9fb-dc3e3823d2f7,https://docs.google.com/document/d/1YABlJ8zSCZMjciOGALscYt_BHa9dssff9swMeW6vlAM/,https://dashboard.arch.network,https://docs.arch.network,N/A,https://x.com/archntwrk,https://discord.com/app/invite-with-guild-onboarding/archnetwork,N/A,https://github.com/arch-network,https://www.linkedin.com/company/archntwrk/,TGE Soon,N/A
Haiku Trade,https://haiku.trade,AI-powered DEX for perpetual trading and agent automation,3033,Trade with AI agents on decentralized exchange,Haiku 2 – Agent Trade,"DeFi, AI, Trading, Perpetuals","On-Chain Activity, AI Trading",Intermediate,"Connect wallet, trade perpetuals, use AI agents, earn rewards",https://app.layer3.xyz/activations/haiku-agent-trade,https://app.haiku.trade?r=klint,https://docs.google.com/document/d/1gAyqZZD3kgretJ74M8HXV7OJW_hxUB2IARLqG5p2b0s/,https://app.haiku.trade,https://docs.haiku.trade/,N/A,https://x.com/HaikuTrade,https://discord.gg/haiku-official,https://t.me/haiku_trade,N/A,https://www.linkedin.com/company/haikutrade/,TGE Soon,N/A
WAYE.ai,https://waye.ai,AI agent ownership platform on Sui blockchain,3183,Own and operate AI agents for various tasks,Own Your AI Agent on WAYE.ai,"AI, Agents, Sui, Blockchain","Creator Platform, AI Agent Management",Intermediate,"Create agent, customize behavior, complete tasks, earn rewards",https://app.layer3.xyz/activations/own-your-ai-agent-waye-ai,https://app.waye.ai/wayeger?ref=755883,https://docs.google.com/document/d/1LK_h0h5b_xMQk22WRBLIUTWUXe32HIkfvuQSctmE4MI/,https://app.waye.ai,N/A,https://waye.ai/blog,https://x.com/WAYE_ai,https://discord.gg/jGHRSZGZp6,https://t.me/WAYEai,N/A,https://www.linkedin.com/company/wayeai/,TGE Soon,N/A
Gorillionaire,https://gorillionai.re,AI-powered sentiment-based crypto trading platform,2470,Trade crypto using AI sentiment analysis signals,Gorillionaire – Trade on Real Sentiment,"AI, Trading, Sentiment Analysis, DeFi","On-Chain Activity, AI Trading Signals",Intermediate,"Connect wallet, analyze sentiment, execute trades, compete leaderboard",https://app.layer3.xyz/activations/test-ai-powered-trading-with-gorillionaire,https://app.gorillionai.re/ref/KLINT,https://docs.google.com/document/d/1Kjun2lthBBTCY5BpJWM5ZKR7DqAZBOqrxgm6Br1imeo/,https://app.gorillionai.re,N/A,N/A,https://x.com/gorillionaireAI,https://discord.gg/gorillionaire,https://t.me/monadsignals,https://github.com/gorilli-team/gorillionaire,N/A,TGE Soon,N/A
Zoop,https://zoop.com,Social app merging Web2 usability with Web3 monetization,3036,Join creator clubs and earn ZOOP points,Zoop – Web3 Creators and SoFi Platform,"Creators, Social Media, Web3, SoFi","Creator Platform, Social Engagement",Beginner,"Launch clubs, engage content, earn points, refer friends",https://app.layer3.xyz/activations/zoop-web3-creators-sofi-platform,https://app.zoop.club/sign-up/ref07491081?mode=creator,https://docs.google.com/document/d/1pDsQzcK2n35DSl4Tp4jiMfv-9hCt-hs3Pq4MjWzrGP8,https://app.zoop.club,https://support.zoop.club,N/A,https://twitter.com/zoopclub,https://discord.com/invite/qRw7MXG6tZ,https://t.me/officialzoop,N/A,https://www.linkedin.com/company/zoopclub,ZOOP,N/A
Cables Finance,https://www.cables.finance,On-chain RWA tokens backed by real-world assets,2882,Stake RWA-backed tokens and earn points,Cables Finance – RWA Meets DeFi,"RWA, DeFi, Yield, Liquidity","Campaign Quest, RWA Staking",Intermediate,"Stake assets, daily check-ins, earn multipliers, refer users",https://app.layer3.xyz/activations/cables-finance,https://app.cables.finance?referral_code=noadfV7gdm,https://docs.google.com/document/d/1cPcb5W1Lr94mBjbkqAANpPpmKDK2pqjFpdyADP4Mu80,https://app.cables.finance,https://docs.cables.finance,https://www.cables.finance/blog,https://x.com/CablesFinance,https://discord.com/invite/3yUDHjku5Y,https://t.me/CablesFinance,N/A,https://www.linkedin.com/company/cables-finance/,No Token,N/A
GMGN,https://gmgn.ai,AI-driven copy trading and MEV protection for DEXs,2259,Follow top traders and snipe tokens instantly,GMGN – Copy Trade & Snipe Tokens,"AI, Copy Trading, MEV, DeFi","On-Chain Activity, Copy Trading",Intermediate,"Connect wallet, copy trades, snipe tokens, set alerts",https://app.layer3.xyz/activations/gmgn-copy-trade-snipe-tokens,https://gmgn.ai/r/AmqMggGS,https://docs.google.com/document/d/15bfhaKrm8__l2CTvzwlfIj-XxIQZMAa1ARrGXNI7g-M/,https://gmgn.ai,https://docs.gmgn.ai,N/A,https://twitter.com/gmgnai,https://discord.gg/gmgnai,https://t.me/gmgnai,N/A,N/A,No Token,N/A
Haiku Trade,https://haiku.trade,AI-powered perpetual trading and vault strategies,3292,Execute AI-driven trades on perpetual DEX,Haiku Trade: Outcome-as-a-Service for DeFi,"DeFi, AI Trading, Perpetuals, Vaults","On-Chain Activity, AI Trading",Expert,"Connect wallet, trade perpetuals, use AI vaults, earn rewards",https://app.layer3.xyz/activations/haiku-trade-outcome-as-a-service-for-defi,https://app.haiku.trade?r=klint,https://docs.google.com/document/d/1QdYzDJRQuGNX6PEPUC6WkEr5LCNq-HJqM8zx65IjFNk/,https://app.haiku.trade,https://docs.haiku.trade/haiku/,N/A,https://x.com/HaikuTrade,https://discord.gg/haiku-official,https://t.me/haiku_trade,N/A,https://www.linkedin.com/company/haikutrade/,No Token,N/A
Syntetika,https://syntetika.io,Synthetic Bitcoin bonds and structured products platform,3194,Create synthetic assets and earn SP points,Explore Syntetika Hub,"Synthetic Assets, Bitcoin, RWA, DeFi","Campaign Quest, Synthetic Assets",Intermediate,"Mint hBTC, deposit collateral, complete tasks, earn SP",https://app.layer3.xyz/activations/explore-syntetika-hub,https://syntetika.io/hub?ref=uHDKaUAf,https://docs.google.com/document/d/1xKGpneEthI7ZsdG6FLRnIuFPCyM2MXBY48OJbMEZm6M/,https://syntetika.io/hub,https://docs.syntetika.io,N/A,https://x.com/syntetika_io,https://discord.gg/EMvFscngmD,https://t.me/syntetika_official,N/A,https://www.linkedin.com/company/syntetika/,TGE Soon,N/A
Autopilot,https://theautopilot.xyz,Non-custodial strategy vault for Aerodrome governance,2976,Deposit veAERO NFT for auto voting and compounding,Autopilot x Aerodrome,"DeFi, Aerodrome, Strategy, Automation","On-Chain Activity, Yield Farming",Expert,"Deposit NFT, auto-vote, claim rewards, compound yields",https://app.layer3.xyz/activations/autopilot-x-aerodrome,https://theautopilot.xyz/r/W9vH,https://docs.google.com/document/d/1oFkVNROjfRWL3hhlsfjBCwI3_-dmJJ3gZ9qXcKq2fuQ/,https://theautopilot.xyz/app,https://autopilot-5.gitbook.io/autopilot,N/A,https://x.com/AutoPilot_xyz,https://discord.gg/XxcPnBKXdp,N/A,N/A,N/A,No Token,N/A
Zeebu,https://www.zeebu.com/,Telecom analytics and payment pulseboard dashboard,2756,"Explore Zeebu analytics dashboard, earn points",Discover Zeebu Pulseboard,"Telecom, Analytics, Payments, Dashboard","Creator Platform, Analytics",Beginner,"View metrics, complete tasks, refer friends, earn rewards",https://app.layer3.xyz/activations/dicover-zeebu-pulseboard,https://www.alphabot.app/pulse/zeebu/ZDYEQ4,https://docs.google.com/document/d/1NMqubDiAJ_MtYJTMHpzDyTDiTIbmNAlZSqEX1zcoKqQ/,https://www.alphabot.app/pulse/zeebu,N/A,https://www.zeebu.com/blog,https://twitter.com/zeebuofficial,https://discord.gg/h8uNHTrGU8,https://t.me/ZeebuOfficial,N/A,https://www.linkedin.com/company/zeebuofficial/,ZBU,N/A
Etherscan,https://etherscan.io,Ethereum blockchain explorer with points rewards program,2472,Earn OG points via quizzes and activities,Intro to Etherscan Points,"Ethereum, Explorer, Analytics, Rewards","Educational Quest, Points Program",Beginner,"Complete quizzes, daily check-ins, share badges, earn points",https://app.layer3.xyz/activations/intro-to-etherscan-points,https://etherscan.io/points,https://docs.google.com/document/d/1wIi05ZGaU5IacqC0oOolgSOO9ZLuEFJvRMJ25yblc-g/,https://etherscan.io/points,https://info.etherscan.io,N/A,https://x.com/etherscan,https://discord.gg/gaibofficial,N/A,https://github.com/etherscan,https://www.linkedin.com/company/etherscan/,No Token,N/A
River,https://river.inc/,Chain abstraction protocol for satUSD stablecoin,2632,Mint satUSD across chains without bridging,River – Chain Abstraction in Action,"Chain Abstraction, Stablecoin, Cross-chain, DeFi","On-Chain Activity, Chain Abstraction",Intermediate,"Mint satUSD, stake sats, vote proposals, earn points",https://app.layer3.xyz/activations/river-chain-abstraction-in-action,https://app.river.inc/fun?ref=TaylorRyanTweet,https://docs.google.com/document/d/1uwmLh_cH7cwdciWS3g6hidcwAd6NlWphFq4asC7Q6zo/,https://app.river.inc,https://docs.river.inc,https://blog.river.inc,https://x.com/riverdotinc,https://discord.gg/CakRgSnPVS,https://t.me/river_inc,https://github.com/riverdotinc,https://www.linkedin.com/company/satoshi-protocol,TGE Soon,https://coinmarketcap.com/currencies/river/
RHEA Finance,https://rhea.finance,Decentralized trading hub with contest rewards,2581,Participate in trading race for RHEA points,RHEA Finance – August Trade Competition,"DeFi, Trading Competition, Rewards, NEAR","On-Chain Activity, Competition",Intermediate,"Trade pairs, enter contest, climb leaderboard, claim rewards",https://app.layer3.xyz/activations/rhea-finance-august-trade-competition,https://app.rhea.finance/points?code=UgftTGB,https://docs.google.com/document/d/1-kRjihpDBxLOfXhwDJYUk8aHJbpFfu7VfNrbO4WYInI/,https://app.rhea.finance,https://iq.wiki/zh/wiki/rhea-finance,https://rhea-finance.medium.com/,https://twitter.com/rhea_finance,https://discord.gg/rheafinance,https://t.me/rhea_finance,N/A,https://www.linkedin.com/company/rheafinance/,RHEA,https://coinmarketcap.com/currencies/rhea-finance/
AppleFarm,https://applefarm.xyz,Yield farming platform with seasonal campaigns,2841,Participate in season 2 yield farming,AppleFarm Season 2,"DeFi, Yield Farming, Seasonal, Campaign","Campaign Quest, Yield Farming",Intermediate,"Farm assets, stake tokens, complete seasons, earn apples",https://app.layer3.xyz/activations/applefarm-season-2,http://app.applefarm.xyz/referral?code=APPLE-FARM-289776,https://docs.google.com/document/d/1yWJCvPXC_mda8naYctLSa7wFMrmN2_d5kSBbqqDU6XI/,http://app.applefarm.xyz,N/A,https://medium.com/@etherlink,https://x.com/etherlink,https://discord.gg/PfAX8GaqZS,N/A,N/A,N/A,APPLE,N/A
ScribbleDAO,https://scribbledao.com,DAO-based content creation for writers,2887,Create content and earn rewards,ScribbleDAO for Creators,"DAO, Content Creation, Writing","Creator Platform, Content Creation",Beginner,"Write posts, join DAO, vote proposals, earn tokens",https://app.layer3.xyz/activations/scribbledao-for-creators,https://app.scribbledao.com/?referrer=ca4470b2,https://docs.google.com/document/d/1OHtdX-3M9E7AMnUhO7LBTMN_dEeKAAoxFM9CaWB_2P8/,https://app.scribbledao.com,N/A,N/A,https://x.com/scribble_dao,N/A,https://t.me/scribbledao,N/A,https://www.linkedin.com/company/scribbledao/,TGE Soon,N/A
ZenChain Domain,https://zns.bio,Blockchain domain name service,2387,Register .zen domain names,Register a ZenChain Domain,"Blockchain, Domains, Naming","On-Chain Activity, Domain Registration",Beginner,"Choose domain, register, set records, claim rewards",https://app.layer3.xyz/activations/register-zenchain-domain,https://zns.bio?ref=Mzk4YmNmOD,https://docs.google.com/document/d/1ZjYQS2KNzj3zkA7IyMey6THT8ICSWPy8UFwtQOX0MWg/,https://zns.bio,https://docs.zenchain.io/,https://www.zenchain.io/blog,https://twitter.com/zen_chain,https://discord.gg/zenchain,https://t.me/ZenchainAnnouncements,https://github.com/zenchain-protocol,https://www.linkedin.com/company/zenchain-lab/about/,ZEN,N/A
ZenChain Testnet,https://zenchain.io,Testnet exploration with rewards,2461,Explore testnet and complete tasks,Discover ZenChain Testnet,"Blockchain, Testnet, Rewards","Campaign Quest, Testnet Exploration",Beginner,"Connect wallet, test features, complete quests, earn ZEN",https://app.layer3.xyz/activations/discover-zenchain-testnet,https://zenquest.zenchain.io?referral=Ta_pekpSUMt46A79Y-doG1TYnxb0DR3L86J2yUVIokk,https://docs.google.com/document/d/1abzM0YB02FgPuQGbXk2ChPgZuTBrpxWSe2OyZJBU2_A/,https://zenquest.zenchain.io,https://docs.zenchain.io/,https://www.zenchain.io/blog,https://twitter.com/zen_chain,https://discord.gg/zenchain,https://t.me/ZenchainAnnouncements,https://github.com/zenchain-protocol,https://www.linkedin.com/company/zenchain-lab/about/,ZEN,N/A
MetEngine,https://metengine.xyz,Dynamic liquidity pools protocol on Solana,2045,Provide liquidity to dynamic AMM pools,MetEngine Dynamic Solana Pools,"Solana, Liquidity Pools, AMM","On-Chain Activity, Liquidity Provision",Intermediate,"Add liquidity, adjust ratios, stake LP, collect fees",https://app.layer3.xyz/activations/dynamic-liquidity-solana-pools,https://app.metengine.xyz?ref=12345,https://docs.google.com/document/d/1hkl3vSY6qrF3nk4sVw5CcZgKxX_WYJi7-nZ04A9Yw2Q/,https://app.metengine.xyz,https://docs.metengine.xyz/,N/A,https://x.com/met_engine,https://discord.gg/metengine,N/A,N/A,,MET,N/A
Nodes Garden x Dria,https://nodes.garden,Node-as-a-Service for blockchain and AI networks,3307,Run Dria node via Nodes Garden for AI network,Nodes Garden x Dria,"DePIN, Nodes, AI, Infrastructure","DePIN Product Quest, Node Operation",Expert,"Deploy Dria node, connect to network, earn BLESS points",https://app.layer3.xyz/activations/dria-node-nodes-garden,https://nodes.garden/s/KLINT,https://docs.google.com/document/d/1c1TGwV62l-wJagMlR6XU4gBJmasHQEHRexv6eCYP9U8/,https://nodes.garden,N/A,https://blog.nodes.garden/,https://x.com/nodes_garden,N/A,https://t.me/nodes_garden,N/A,https://www.linkedin.com/company/nodes-garden/,BLESS,N/A
Loopscale,https://loop.sl,Solana lending and borrowing protocol,2490,"Supply collateral, borrow assets, repay loans, earn yield",Solana Lending with Loopscale,"Solana, Lending, DeFi, Liquidations","On-Chain Activity, Lending",Intermediate,"Deposit collateral, borrow tokens, repay loans, earn interest",https://app.layer3.xyz/activations/solana-lending-with-loopscale,https://loop.sl/i/xYphD,https://docs.google.com/document/d/1A-9tz265y6-6ffNUmsLSz_uYbVmLzFtwQkjR7C5yfKE/,https://loop.sl,https://docs.loopscale.io,https://blog.loopscale.com/,https://x.com/LoopscaleLabs,https://discord.gg/loopscale,N/A,N/A,https://www.linkedin.com/company/loopscalelabs/,LOOP,N/A
Sats Terminal,https://app.satsterminal.com,Bitcoin DeFi gateway for BTC yield and swaps,2919,"Use BTC in DeFi for yield, trading, staking",Sats Terminal – Unlock Bitcoin DeFi,"Bitcoin, DeFi, Yield, Derivatives","On-Chain Activity, Bitcoin DeFi",Expert,"Deposit BTC, trade BTC pairs, stake sats, earn rewards",https://app.layer3.xyz/activations/sats-terminal-unlock-bitcoin-defi,https://app.satsterminal.com/en?ref=CBNDW,https://docs.google.com/document/d/1OjxFb1U3coFFKXoVfZB0V61JB5hPbmPeaiCo18VRIbY/,https://app.satsterminal.com,https://docs.satsterminal.com,N/A,https://x.com/SatsTerminal,https://discord.gg/khkddgzwcX,https://t.me/SatsTerminal,N/A,https://www.linkedin.com/company/satsterminal/,SATS,N/A
Nodes Garden,https://nodes.garden,Node-as-a-Service platform for blockchain nodes,2918,"Run blockchain nodes, stake, earn rewards",Discover Nodes Garden,"DePIN, Nodes, Infrastructure, Staking","DePIN Product Quest, Node Management",Expert,"Deploy node, maintain uptime, stake tokens, collect rewards",https://app.layer3.xyz/activations/discover-nodes-garden,https://nodes.garden/s/KLINT,https://docs.google.com/document/d/1c1TGwV62l-wJagMlR6XU4gBJmasHQEHRexv6eCYP9U8/,https://nodes.garden,N/A,https://blog.nodes.garden/,https://x.com/nodes_garden,N/A,https://t.me/nodes_garden,N/A,https://www.linkedin.com/company/nodes-garden/,N/A,N/A
OlaXBT,https://olaxbt.xyz,Modular AI agents marketplace for blockchain tasks,2833,Purchase and deploy AI agents to automate tasks,Discover OlaXBT – Modular MCP Agents,"AI, Agents, Marketplace, Automation","Creator Platform, AI Agents",Intermediate,"Browse agents, purchase, deploy automation, earn commissions",https://app.layer3.xyz/activations/discover-olaxbt-modular-mcp-agents,https://olaxbt.xyz/agentsales?ref=YpFpW7CKUZ,https://docs.google.com/document/d/1UOVcYJ7awcRrIVR9SDUblqv2CdKbV4Q8qCI3nMasuJk/,https://olaxbt.xyz/agentsales,https://olaxbt-docs.gitbook.io/olaxbt-doc/,N/A,https://x.com/olaxbt,N/A,https://t.me/olaxbt_community,https://github.com/olaxbt,N/A,N/A,N/A
DDAI,https://bless.network,DePIN network for AI assistant data contributions,2485,Earn rewards by contributing data for AI assistants,DDAI – DePIN for AI Assistants,"DePIN, AI, Data, Bless Network","DePIN Product Quest, AI Data",Beginner,"Install agent, collect data, submit, earn points",https://app.layer3.xyz/activations/ddai-depin-for-ai-assistants,https://app.ddai.space/register?ref=bpl3Szth ,https://docs.google.com/document/d/1PULGDp8aBP0xpza6TLPw7CKmcsift25CEAsWmXoB3RU/,https://bless.network/dashboard,https://docs.bless.network,N/A,N/A,N/A,N/A,N/A,N/A,DDAI,N/A
Bless Network,https://bless.network,Global DePIN network powered by everyday devices,3217,Contribute device resources to earn rewards,Bless – A Global Network Powered by Everyday Devices,"DePIN, IoT, Devices, Rewards","DePIN Product Quest, IoT",Beginner,"Install app, run service, earn points, refer friends",https://app.layer3.xyz/activations/bless-a-global-network-powered-by-everyday-devices,https://bless.network/dashboard?ref=QSUP2A,https://docs.google.com/document/d/1o7e-Z9G65Ra4fooqji2UZaJjwzUh44NOv12lotsabvU/,https://bless.network/dashboard,https://docs.bless.network,N/A,https://x.com/theblessnetwork,https://discord.gg/blessnetwork,N/A,N/A,linkedin.com/company/blessnetwork,BLESS,N/A
Rho Trading,https://rho.trading,Perpetual futures trading race competition platform,2993,Compete in perpetual trading races for rewards,Rho Trading Race,"DeFi, Futures, Competition, Rewards","On-Chain Activity, Trading Competition",Expert,"Trade perpetuals, enter races, climb leaderboard",https://app.layer3.xyz/activations/rho-trading-race,https://app.rho.trading/points?referralId=bc7e14c2-c118-4afa-a97f-f91bc0352781,https://docs.google.com/document/d/1hqu_nRdP8Hh9qejSZQ2faFiz-Gg1ZBsKF7ywMeDiLbc/,https://app.rho.trading,https://docs.rho.trading,N/A,https://x.com/rho_trading_finance,https://discord.gg/pmCMcQV35r,https://t.me/rho_protocol_chat,N/A,https://www.linkedin.com/company/rholabshq/,RHO,https://coinmarketcap.com/currencies/rhea-finance/
